Música;Sentimento
22;joy
​'tis the damn season;disgust
A Perfectly Good Heart;sadness
A Place In This World;anticipation
Afterglow;fear
All Too Well;sadness
Back to December;sadness
Bad Blood;anger
Begin Again;anticipation
Bejeweled;joy
​betty;anticipation
Blank Space;anger
Breathe;sadness
Call It What You Want;joy
​cardigan;trust
Change;anticipation
Clean;anger
​closure;sadness
Cold as You;sadness
​coney island;sadness
Cornelia Street;sadness
cowboy like me;trust
Cruel Summer;sadness
Dancing with Our Hands Tied;fear
Daylight;joy
Death by a Thousand Cuts;sadness
Delicate;trust
Don't Blame Me;anticipation
​dorothea;sadness
Dress;anticipation
Enchanted;anticipation
End Game;anticipation
​epiphany;trust
Fearless;anticipation
Fifteen;sadness
Forever & Always;fear
Getaway Car;anticipation
​happiness;sadness
Haunted;fear
I Forgot That You Existed;disgust
I Knew You Were Trouble.;anger
I Know Places;fear
I Wish You Would;sadness
I'm Only Me When I'm With You;trust
​illicit affairs;anger
Invisible;sadness
​invisible string;joy
​ivy;anticipation
Karma;anger
King Of My Heart;joy
Labyrinth;fear
Last Kiss;sadness
Lavender Haze;joy
London Boy;joy
Long Live;surprise
​l​ong story short;anticipation
Look What You Made Me Do;anger
Love Story;trust
Lover;trust
​mad woman;anger
​marjorie;sadness
Mary's Song (Oh My My My);joy
ME!;joy
Mean;disgust
Midnight Rain;sadness
Mine;surprise
Miss Americana & The Heartbreak Prince;trust
Never Grow Up;sadness
New Romantics;joy
No Body, No Crime (feat. HAIM);anger
Our Song;joy
​peace;trust
Picture to Burn;anger
Question...?;sadness
Red;sadness
Sad Beautiful Tragic;sadness
​seven;sadness
Shake It Off;joy
Should've Said No;disgust
Snow On the Beach;surprise
So It Goes...;trust
Soon You'll Get Better;fear
Speak Now;anticipation
Starlight;joy
Stay Beautiful;joy
Stay Stay Stay;fear
Sweet Nothing;trust
Teardrops On My Guitar;sadness
Tell Me Why;anger
​the 1;sadness
The Archer;fear
The Best Day;joy
The Lucky One;sadness
The Man;anger
The Outside;anticipation
The Story Of Us;fear
The Way I Loved You;surprise
​this is me trying;anticipation
This Is Why We Can’t Have Nice Things;anger
This Love;anticipation
Tim McGraw;sadness
​tolerate it;fear
Treacherous;anticipation
Vigilante Shit;anger
We Are Never Ever Getting Back Together;anger
Welcome to New York;joy
Wildest Dreams;anticipation
You Belong With Me;disgust
You Need To Calm Down;anger
You're Not Sorry;anger
